employee_id,role_id,role_name,division,grade,base_salary_usd,tenure_years,rating,manager_id
E00001,R001,ML/AI Engineer,Engineering,2,107105,1.8,3,E00525
E00002,R001,ML/AI Engineer,Engineering,3,146403,0.0,2,E00561
E00003,R001,ML/AI Engineer,Engineering,2,110412,1.0,2,E00542
E00004,R001,ML/AI Engineer,Engineering,2,97576,0.7,2,E00536
E00005,R001,ML/AI Engineer,Engineering,2,98525,0.6,2,E00534
E00006,R001,ML/AI Engineer,Engineering,1,89780,0.2,1,E00545
E00007,R001,ML/AI Engineer,Engineering,3,143822,1.7,3,E00554
E00008,R001,ML/AI Engineer,Engineering,1,82585,3.2,2,E00539
E00009,R001,ML/AI Engineer,Engineering,1,82351,0.8,3,E00539
E00010,R001,ML/AI Engineer,Engineering,2,110752,12.1,4,E00572
E00011,R001,ML/AI Engineer,Engineering,1,74889,0.8,5,E00535
E00012,R001,ML/AI Engineer,Engineering,2,103529,1.2,4,E00526
E00013,R001,ML/AI Engineer,Engineering,1,77632,6.0,5,E00532
E00014,R001,ML/AI Engineer,Engineering,2,110409,2.4,3,E00512
E00015,R001,ML/AI Engineer,Engineering,1,77160,2.8,4,E00554
E00016,R001,ML/AI Engineer,Engineering,1,74791,3.4,1,E00538
E00017,R001,ML/AI Engineer,Engineering,2,103326,1.1,3,E00538
E00018,R001,ML/AI Engineer,Engineering,2,93290,0.4,3,E00566
E00019,R001,ML/AI Engineer,Engineering,2,91229,4.2,2,E00545
E00020,R001,ML/AI Engineer,Engineering,1,73611,3.1,4,E00572
E00021,R001,ML/AI Engineer,Engineering,3,134864,6.6,3,E00565
E00022,R001,ML/AI Engineer,Engineering,1,79355,2.7,1,E00574
E00023,R001,ML/AI Engineer,Engineering,3,118797,2.2,5,E00507
E00024,R001,ML/AI Engineer,Engineering,1,83155,7.1,4,E00548
E00025,R001,ML/AI Engineer,Engineering,2,103271,3.7,2,E00520
E00026,R001,ML/AI Engineer,Engineering,1,85305,4.5,3,E00517
E00027,R001,ML/AI Engineer,Engineering,1,86948,0.1,2,E00544
E00028,R001,ML/AI Engineer,Engineering,2,110382,14.3,3,E00507
E00029,R001,ML/AI Engineer,Engineering,1,72123,1.8,2,E00524
E00030,R001,ML/AI Engineer,Engineering,1,73588,2.4,4,E00557
E00031,R001,ML/AI Engineer,Engineering,3,120532,4.0,2,E00576
